MORPH	POS	pred_TAG
SK	SL	O
는	JX	O
_	_	O
LG	SL	B-ORG
,	SP	O
_	_	O
현대	NNP	B-ORG
와	JC	O
_	_	O
롯데	NNP	B-ORG
는	JX	O
_	_	O
기아	NNP	B-ORG
,	SP	O
_	_	O
LG	SL	B-ORG
와	JC	O
_	_	O
차례	NNG	O
로	JKB	O
_	_	O
3	SN	B-NOH
연전	NNG	I-NOH
을	JKO	O
_	_	O
벌이+ㄴ다	VV+EF	O
.	SF	O
		
그러나	MAJ	O
_	_	O
곧	MAG	O
_	_	O
김	NNP	O
_	_	O
감독	NNG	O
의	JKG	O
_	_	O
행방	NNG	O
이	JKS	O
_	_	O
밝혀지	VV	O
었	EP	O
다	EC	O
_	_	O
.	SF	O
		
11	SN	B-NOH
.	SF	O
보통	NNG	O
_	_	O
여자	NNG	O
(	SS	O
린	NNP	O
)	SS	O
		
한편	MAG	O
_	_	O
승	NNG	O
무패	NNG	O
_	_	O
10	SN	B-NOH
,	SP	I-NOH
_	_	O
11	SN	B-NOH
회	NNB	I-NOH
차	NNB	O
_	_	O
게임	NNG	O
은	JX	O
_	_	O
오	VV	O
는	ETM	O
_	_	O
29	SN	B-DAT
일	NNB	I-DAT
(	SS	O
화	NNG	O
)	SS	O
과	JC	O
_	_	O
30	SN	B-NOH
일	NNB	I-DAT
(	SS	O
수	NNG	O
)	SS	O
_	_	O
오후	NNG	O
_	_	O
11	SN	B-NOH
시	NNB	I-NOH
_	_	O
50	SN	B-NOH
분	NNB	I-NOH
에	JKB	O
_	_	O
각각	MAG	O
_	_	O
발매	NNG	O
_	_	O
마감	NNG	O
되	XSV	O
며	EC	O
_	_	O
.	SF	O
		
인기	NNG	O
_	_	O
야구	NNG	O
_	_	O
게임	NNG	O
_	_	O
'	SS	O
마구마구	MAG	O
'	SS	O
,	SP	O
_	_	O
일본	NNP	B-ORG
에	JKB	O
_	_	O
정식	NNG	O
_	_	O
서비스	NNG	O
_	_	O
되+ㄴ다	VV+EF	O
		
제임스	NNP	B-PER
는	JX	O
_	_	O
4	SN	B-NOH
쿼터	NNB	I-NOH
_	_	O
종료	NNG	O
_	_	O
2	SN	B-NOH
분	NNB	I-NOH
20	SN	I-NOH
초	NNB	I-NOH
전	NNG	O
_	_	O
가로채	VV	O
기	ETN	O
에	JKB	O
_	_	O
잇	VV	O
은	ETM	O
_	_	O
원핸드	NNG	O
_	_	O
덩크	NNG	O
를	JKO	O
_	_	O
작렬	NNG	O
시키+어	XSV+EC	O
_	_	O
88	SN	B-NOH
-	SO	I-NOH
89	SN	I-NOH
로	JKB	O
_	_	O
추격+하	NNG+XSV	O
였	EP	O
다	EC	O
_	_	O
.	SF	O
		
지난해	NNG	O
_	_	O
무려	MAG	O
_	_	O
10	SN	B-NOH
승	NNB	I-NOH
을	JKO	O
_	_	O
수확+하	NNG+XSV	O
였	EP	O
던	ETM	O
_	_	O
'	SS	O
지존	NNG	O
'	SS	O
_	_	O
신지애	NNP	B-PER
(	SS	O
20	SN	B-NOH
_	_	O
ㆍ	SP	O
_	_	O
하이마트	NNP	B-ORG
)	SS	O
에	JKB	O
_	_	O
대	NNG	O
하+ㄴ	XSV+ETM	O
_	_	O
선전	NNG	O
포고	NNG	O
이+ㄴ	VCP+ETM	O
_	_	O
셈	NNB	O
이	VCP	O
다	EC	O
_	_	O
.	SF	O
		
다큐	NNG	O
_	_	O
'	SS	O
Elvis	SL	O
_	_	O
By	SL	O
_	_	O
The	SL	O
_	_	O
Presleys	SL	I-POH
'	SS	O
는	JX	O
_	_	O
엘비스	NNP	B-PER
의	JKG	O
_	_	O
부인	NNG	O
_	_	O
프리실라	NNP	B-PER
_	_	O
프레슬리	NNP	B-PER
,	SP	O
_	_	O
딸	NNG	O
이	VCP	O
자	EC	O
_	_	O
가수	NNG	O
이+ㄴ	VCP+ETM	O
_	_	O
리사	NNG	O
_	_	O
마리	NNB	O
_	_	O
프레슬리	NNP	B-PER
의	JKG	O
_	_	O
미	XPN	B-ORG
공개	NNG	O
_	_	O
영상	NNG	O
을	JKO	O
_	_	O
통하+여	VV+EC	O
_	_	O
엘비스	NNP	B-PER
의	JKG	O
_	_	O
인간적	NNG	O
이+ㄴ	VCP+ETM	O
_	_	O
면	NNG	O
을	JKO	O
_	_	O
조명	NNG	O
하+여	XSV+EC	O
_	_	O
폭발적	NNG	O
이+ㄴ	VCP+ETM	O
_	_	O
시청률	NNG	O
을	JKO	O
_	_	O
기록+하	NNG+XSV	O
였	EP	O
다	EF	O
.	SF	O
		
시	NNG	O
는	JX	O
_	_	O
지난해	NNG	O
_	_	O
12	SN	B-DAT
월	NNB	I-DAT
_	_	O
엠파스	NNP	B-ORG
와	JC	O
_	_	O
'	SS	O
인터넷	NNG	O
_	_	O
홍보	NNG	O
_	_	O
사업	NNG	O
'	SS	O
을	JKO	O
_	_	O
제휴	NNG	O
,	SP	O
_	_	O
엠파스	NNP	B-ORG
에	JKB	O
_	_	O
시	NNB	O
_	_	O
홈페이지	NNG	O
를	JKO	O
_	_	O
연결	NNG	O
하+여	XSV+EC	O
_	_	O
시정	NNG	O
소식	NNG	O
과	JC	O
_	_	O
부천	NNP	B-ORG
의	JKG	O
_	_	O
자랑거리	NNG	O
_	_	O
등	NNB	O
을	JKO	O
_	_	O
홍보	NNG	O
하	XSV	O
고	EC	O
_	_	O
있	VX	O
다	EF	O
.	SF	O
		
대한축구협회	NNP	B-ORG
도	JX	O
_	_	O
지나+ㄴ	VV+ETM	O
_	_	O
2002	SN	B-DAT
년	NNB	I-NOH
부터	JX	O
_	_	O
유망주	NNG	O
_	_	O
해외	NNG	O
유학	NNG	O
_	_	O
프로젝트	NNG	O
의	JKG	O
_	_	O
파트너	NNG	O
로	JKB	O
_	_	O
FC	SL	O
_	_	O
메스	NNG	O
를	JKO	O
_	_	O
선정	NNG	O
하+여	XSV+EC	O
_	_	O
강진욱	NNP	B-PER
(	SS	O
19	SN	B-NOH
)	SS	O
,	SP	O
_	_	O
어경준	NNP	B-PER
(	SS	O
18	SN	B-NOH
)	SS	I-NOH
_	_	O
등	NNB	O
을	JKO	O
_	_	O
위탁	NNG	O
_	_	O
교육시키+ㄴ	VV+ETM	O
_	_	O
바	NNB	O
_	_	O
있	VA	O
다	EF	O
.	SF	O
		
‘	SS	B-DAT
2008	SN	B-DAT
_	_	O
e	SL	O
-	SO	B-POH
태백	NNP	I-POH
페스티벌	NNG	I-POH
’	SS	O
_	_	O
개막	NNG	O
…	SE	O
짜릿	NNG	O
하+ㄴ	XSA+ETM	O
_	_	O
경기	NNG	O
,	SP	O
_	_	O
화려	NNG	O
하+ㄴ	XSA+ETM	O
_	_	O
상금	NNG	O
_	_	O
‘	SS	O
펑펑	MAG	O
’	SS	O
		
김광현	NNP	B-PER
을	JKO	O
_	_	O
둘러싸+ㄴ	VV+ETM	O
_	_	O
주변	NNG	O
의	JKG	O
_	_	O
우려	NNG	O
는	JX	O
_	_	O
너무	MAG	O
_	_	O
많이	MAG	O
_	_	O
던지+ㄴ다는	VV+ETM	O
_	_	O
것	NNB	O
.	SF	O
		
유	NNP	B-PER
_	_	O
감독	NNG	O
은	JX	O
_	_	O
3	SN	B-NOH
차	NNB	I-NOH
전	XSN	O
에	JKB	O
_	_	O
임	NNG	O
하	XSV	O
는	ETM	O
_	_	O
각오	NNG	O
에	JKB	O
_	_	O
대	NNG	O
하+여	XSV+EC	O
_	_	O
SS	O	O
사실	MAG	O
_	_	O
오늘	NNG	O
이	JKS	O
_	_	O
마지막	NNG	O
이	VCP	O
라고	EC	O
_	_	O
생각+하	NNG+XSV	O
였	EP	O
다	EC	O
_	_	O
.	SF	O
		
이	MM	O
_	_	O
작품	NNG	O
에	JKB	O
는	JX	O
_	_	O
룩셈부르크	NNP	B-ORG
를	JKO	O
_	_	O
비롯	NNG	O
하+여	XSV+EC	O
_	_	O
벨기에	NNP	B-ORG
,	SP	O
_	_	O
프랑스	NNP	B-ORG
,	SP	O
_	_	O
영국	NNP	B-ORG
,	SP	O
_	_	O
스페인	NNP	B-ORG
_	_	O
등	NNB	O
_	_	O
유럽	NNP	B-ORG
의	JKG	O
_	_	O
애니메이션	NNG	O
_	_	O
전문가	NNG	O
들	XSN	O
이	JKS	O
_	_	O
대거	MAG	O
_	_	O
참여+하	NNG+XSV	O
였	EP	O
다	EF	O
.	SF	O
		
[	SS	O
스포츠토토	NNP	B-ORG
]	SS	O
_	_	O
배구	NNG	O
팬	NNG	O
,	SP	O
_	_	O
“	SS	O
챔피언	NNG	O
_	_	O
결정	NNG	O
전	XSN	O
_	_	O
2	SN	B-NOH
차	NNB	I-NOH
전	NNG	O
_	_	O
삼성화재	NNP	B-ORG
_	_	O
승리	NNG	O
_	_	O
예상	NNG	O
”	SS	O
		
익숙	NNG	B-PER
하	XSA	O
지	EC	O
_	_	O
않	VX	O
은데	EC	O
_	_	O
10	SN	B-NOH
시간	NNB	I-NOH
이나	JX	O
_	_	O
찍	VV	O
었	EP	O
다	EF	O
.	SF	O
		
대표	NNG	O
팀	NNG	O
_	_	O
예비	NNG	O
명단	NNG	O
에	JKB	O
_	_	O
선발	NNG	O
_	_	O
되+ㄴ	VV+ETM	O
_	_	O
후	NNG	O
_	_	O
부모님	NNG	O
께	JKB	O
는	JX	O
_	_	O
그	MM	O
_	_	O
소식	NNG	O
을	JKO	O
_	_	O
전	NNG	O
하	XSV	O
지	EC	O
_	_	O
않	VX	O
았	EP	O
다는	ETM	O
_	_	O
하대성	NNP	B-PER
은	JX	O
_	_	O
SS	O	O
어머니	NNG	O
가	JKS	O
_	_	O
구단	NNG	O
_	_	O
홈페이지	NNG	O
를	JKO	O
_	_	O
보	VV	O
고	EC	O
_	_	O
먼저	MAG	O
_	_	O
연락	NNG	O
을	JKO	O
_	_	O
하+시	VV+EP	O
었	EP	O
다	EC	O
_	_	O
.	SF	O
		
9	SN	B-NOH
승	NNB	I-NOH
을	JKO	O
_	_	O
앞두	VV	O
고	EC	O
_	_	O
최근	NNG	O
_	_	O
2	SN	B-NOH
연패	NNG	I-NOH
를	JKO	O
_	_	O
당	NNG	O
하+ㄴ	XSV+ETM	O
_	_	O
박찬호	NNP	B-PER
로서	JKB	O
는	JX	O
_	_	O
결코	MAG	O
_	_	O
물러서+ㄹ	VV+ETM	O
_	_	O
수	NNB	O
_	_	O
없	VA	O
는	ETM	O
_	_	O
한판	NNG	O
.	SF	O
		
이승호	NNP	B-PER
는	JX	O
_	_	O
7	SN	B-DAT
일	NNB	I-DAT
_	_	O
잠실구장	NNP	B-LOC
에서	JKB	O
_	_	O
열리+ㄴ	VV+ETM	O
_	_	O
라이벌	NNG	O
_	_	O
두산	NNP	B-ORG
과	JKB	O
의	JKG	O
_	_	O
홈경기	NNG	O
에서	JKB	O
_	_	O
7	SN	B-NOH
회	NNB	I-NOH
_	_	O
1	SN	B-NOH
사	NNG	I-NOH
_	_	O
이후	NNG	O
_	_	O
전상열	NNP	B-PER
_	_	O
타석	NNG	O
_	_	O
때	NNG	O
_	_	O
목	NNG	O
_	_	O
뒤쪽	NNG	O
에	JKB	O
_	_	O
가볍	VA	O
ㄴ	ETM	O
_	_	O
근육통	NNG	O
을	JKO	O
_	_	O
느끼+어	VV+EC	O
_	_	O
코치	NNG	O
진	XSN	O
에게	JKB	O
_	_	O
통보	NNG	O
하+ㄴ	XSV+ETM	O
_	_	O
뒤	NNG	O
_	_	O
류택현	NNP	B-PER
과	JC	O
_	_	O
교체+되	NNG+XSV	O
었	EP	O
다	EF	O
.	SF	O
		
이	NP	O
에	JKB	O
_	_	O
대	NNG	O
하+여	XSV+EC	O
_	_	O
영화인	NNG	O
회의	NNG	O
_	_	O
유창	NNG	O
서	JKB	O
_	_	O
사무국	NNG	O
장	XSN	O
은	JX	O
_	_	O
SS	O	O
영화	NNG	O
는	JX	O
_	_	O
술	NNG	O
이나	JC	O
_	_	O
담배	NNG	O
와	JKB	O
_	_	O
같	VA	O
은	ETM	O
_	_	O
청소년	NNG	O
_	_	O
유해물	NNG	O
과	JC	O
_	_	O
다르+ㄴ	VA+ETM	O
_	_	O
문화	NNG	O
매체	NNG	O
SS	O	O
라고	JKQ	O
_	_	O
전제	NNG	O
하+ㄴ	XSV+ETM	O
_	_	O
뒤	NNG	O
_	_	O
SS	O	O
단속	NNG	O
과	JC	O
_	_	O
규제	NNG	O
를	JKO	O
_	_	O
쉽	VA	O
게	EC	O
_	_	O
하	VV	O
기	ETN	O
_	_	O
위하+여	VV+EC	O
_	_	O
기준	NNG	O
을	JKO	O
_	_	O
통일	NNG	O
하	XSV	O
려는	ETM	O
_	_	O
것	NNB	O
은	JX	O
_	_	O
행정	NNG	O
편의주의	NNG	O
적	XSN	O
이+ㄴ	VCP+ETM	O
_	_	O
발상	NNG	O
SS	O	O
이라고	JKQ	O
_	_	O
반박+하	NNG+XSV	O
였	EP	O
다	EF	O
.	SF	O
		
SK	SL	B-ORG
_	_	O
크루즈	NNP	B-PER
는	JX	O
_	_	O
5	SN	B-NOH
이닝	NNG	I-NOH
을	JKO	O
_	_	O
6	SN	B-NOH
안타	NNG	I-NOH
_	_	O
2	SN	B-NOH
실점	NNG	I-NOH
으로	JKB	O
_	_	O
막	VV	O
아	EC	O
_	_	O
승리	NNG	O
투수	NNG	O
가	JKC	O
_	_	O
었	EP	O
지만	EC	O
_	_	O
기아	NNP	B-ORG
_	_	O
그레이	NNP	B-PER
싱어	NNG	O
는	JX	O
_	_	O
3	SN	B-NOH
⅔	SW	I-NOH
이닝	NNG	I-NOH
동안	NNG	O
_	_	O
7	SN	B-NOH
안타	NNG	I-NOH
로	JKB	O
_	_	O
5	SN	B-NOH
실점	NNG	I-NOH
하	XSV	O
고	EC	O
_	_	O
강판+되	NNG+XSV	O
었	EP	O
다	EF	O
.	SF	O
		
일본	NNP	B-ORG
프로야구	NNG	O
_	_	O
이승엽	NNP	B-PER
(	SS	O
29	SN	B-NOH
.	SF	O
_	_	O
지바	NNP	B-ORG
_	_	O
롯데	NNP	B-ORG
_	_	I-PER
마린스	NNP	I-PER
)	SS	O
이	JKS	O
_	_	O
타점	NNG	O
_	_	O
두	MM	O
_	_	O
개	NNB	O
를	JKO	O
_	_	O
추가+하	NNG+XSV	O
였	EP	O
다	EF	O
.	SF	O
		
한편	NNG	O
,	SP	O
_	_	O
클리퍼스	NNP	B-PER
의	JKG	O
_	_	O
간판	NNG	O
_	_	O
포워드	NNG	O
이+ㄴ	VCP+ETM	O
_	_	O
엘튼	NNP	B-PER
_	_	O
브랜드	NNG	O
와	JC	O
_	_	O
코리	NNP	O
_	_	O
메게티	NNG	O
는	JX	O
_	_	O
지나+ㄴ	VV+ETM	O
_	_	O
1	SN	B-DAT
일	NNB	I-DAT
_	_	O
'	SS	O
선수	NNG	O
옵션	NNG	O
'	SS	O
을	JKO	O
_	_	O
사용	NNG	O
하+여	XSV+EC	O
_	_	O
나란히	MAG	O
_	_	O
FA	SL	O
_	_	O
권리	NNG	O
를	JKO	O
_	_	O
획득+하	NNG+XSV	O
였	EP	O
다	EC	O
_	_	O
.	SF	O
		
이	NP	O
들	XSN	O
_	_	O
외	NNB	O
에	JKB	O
_	_	O
올	NNG	O
시즌	NNG	O
_	_	O
우승	NNG	O
하+ㄴ	XSV+ETM	O
_	_	O
선수	NNG	O
는	JX	O
_	_	O
루이제	NNP	B-PER
_	_	O
프리	NNG	O
베리	NNP	O
(	SS	O
마스터카드	NNG	O
클래식	NNG	O
)	SS	O
_	_	O
뿐	NNB	O
이	VCP	O
다	EC	O
_	_	O
.	SF	O
		
이승엽	NNP	B-PER
은	JX	O
_	_	O
이날	NNG	O
_	_	O
경기	NNG	O
에서	JKB	O
_	_	O
2	SN	B-NOH
경기	NNG	I-NOH
_	_	O
연속	NNG	O
_	_	O
라미레스	NNP	B-PER
에게	JKB	O
_	_	O
밀리+어	VV+EC	O
_	_	O
5	SN	B-NOH
번	NNB	I-NOH
타자	NNG	O
로	JKB	O
_	_	O
출전+하	NNG+XSV	O
였	EP	O
다	EC	O
_	_	O
.	SF	O
		
결승전	NNG	O
은	JX	O
_	_	O
2006	SN	B-DAT
년	NNB	I-DAT
_	_	O
길드	NNG	O
전	XSN	O
_	_	O
결승	NNG	O
에서	JKB	O
_	_	O
맞붙	VV	O
었	EP	O
던	ETM	O
_	_	O
'	SS	O
드림	NNG	B-POH
오브	NNG	I-POH
팀	NNG	O
'	SS	O
과	JC	O
_	_	O
'	SS	O
훼	NNG	B-POH
인클럽	NNP	I-POH
'	SS	O
이	JKS	O
_	_	O
또	MAG	O
_	_	O
다시	MAG	O
_	_	O
결승	NNG	O
에서	JKB	O
_	_	O
만나+아	VV+EC	O
_	_	O
어느	MM	O
_	_	O
해	NNG	O
보다	JKB	O
_	_	O
숨	NNG	O
막히	VV	O
는	ETM	O
_	_	O
대결	NNG	O
을	JKO	O
_	_	O
펼치	VV	O
었	EP	O
다	EC	O
_	_	O
.	SF	O
		
재미	NNG	O
교포	NNG	O
_	_	O
김초롱	NNP	B-PER
(	SS	O
23	SN	B-NOH
)	SS	O
은	JX	O
_	_	O
5	SN	B-NOH
타	NNG	I-NOH
를	JKO	O
_	_	O
줄이	VV	O
는	ETM	O
_	_	O
화끈하+ㄴ	VA+ETM	O
_	_	O
플레이	NNG	O
로	JKB	O
_	_	O
합계	NNG	O
_	_	O
10	SN	B-NOH
언더파	NNG	I-NOH
_	_	O
203	SN	B-NOH
타	NNG	I-NOH
를	JKO	O
_	_	O
기록	NNG	O
하+여	XSV+EC	O
_	_	O
단독	NNG	O
_	_	O
3	SN	B-NOH
위	NNB	I-NOH
로	JKB	O
_	_	O
뛰	VV	O
어	EC	O
_	_	O
오르	VV	O
며	EC	O
_	_	O
최종일	NNG	B-PER
_	_	O
소렌스탐	NNP	B-PER
_	_	O
.	SF	O
_	_	O
장정	NNG	O
과	JC	O
_	_	O
챔피언	NNG	O
조	NNG	O
로	JKB	O
_	_	O
경기	NNG	O
를	JKO	O
_	_	O
하	VV	O
게	EC	O
_	_	O
었	EP	O
다	EC	O
_	_	O
.	SF	O
		
김	NNP	B-PER
_	_	O
감독	NNG	O
은	JX	O
_	_	O
SS	O	O
선발투수	NNG	O
_	_	O
브라운	NNP	B-PER
이	JKS	O
_	_	O
초반	NNG	O
에	JKB	O
_	_	O
무너지	VV	O
는	ETM	O
_	_	O
바람	NNB	O
에	JKB	O
_	_	O
힘들+ㄴ	VA+ETM	O
_	_	O
경기	NNG	O
를	JKO	O
_	_	O
하+ㄹ	VV+ETM	O
_	_	O
수	NNB	O
_	_	O
밖에	JX	O
_	_	O
없	VA	O
었	EP	O
다	EF	O
SS	O	O
며	EC	O
_	_	O
SS	O	O
하지만	MAJ	O
_	_	O
브라운	NNP	B-PER
이	JKS	O
_	_	O
원래	NNG	O
_	_	O
4	SN	B-NOH
월	NNB	I-NOH
_	_	O
성적	NNG	O
이	JKS	O
_	_	O
안	MAG	O
_	_	O
좋	VA	O
다	EC	O
_	_	O
.	SF	O
		
긱스	NNP	B-PER
는	JX	O
_	_	O
지나+ㄴ	VV+ETM	O
_	_	O
1991	SN	B-DAT
년	NNB	I-DAT
_	_	O
부터	JX	O
_	_	O
맨유	NNP	B-ORG
에서	JKB	O
_	_	O
뛰	VV	O
며	EC	O
_	_	O
18	SN	B-NOH
차례	NNG	I-NOH
나	JC	O
_	_	O
우승컵	NNG	O
을	JKO	O
_	_	O
들	VV	O
어	EC	O
올리+었	VV+EP	O
고	EC	O
_	_	O
750	SN	O
경기	NNG	O
에	JKB	O
_	_	O
출전	NNG	O
하+여	XSV+EC	O
_	_	O
보비	NNP	B-PER
_	_	O
찰턴	NNP	B-PER
(	SS	O
759	SN	B-NOH
경기	NNG	O
)	SS	O
의	JKG	O
_	_	O
역대	NNG	O
_	_	O
최다	NNG	O
_	_	O
출전	NNG	O
_	_	O
기록	NNG	O
_	_	O
경신	NNG	O
을	JKO	O
_	_	O
눈앞	NNG	O
에	JKB	O
_	_	O
두	VV	O
고	EC	O
_	_	O
있	VX	O
다	EC	O
_	_	O
.	SF	O
		
◇	SW	B-POH
아테네	NNP	I-POH
올림픽	NNG	O
_	_	O
기점	NNG	O
_	_	O
역전	NNG	O
되+ㄴ	XSV+ETM	O
_	_	O
한일	NNP	B-ORG
배구	NNG	I-ORG
		
서장훈	NNP	B-PER
_	_	O
'	SS	O
더	MAG	O
_	_	O
이상	NNG	O
_	_	O
물러서+ㄹ	VV+ETM	O
_	_	O
곳	NNG	O
이	JKS	O
_	_	O
없	VA	O
다	EF	O
'	SS	O
		
프리드리히스하펜	NNP	B-ORG
의	JKG	O
_	_	O
슈	NNP	B-PER
텔리안	NNP	B-PER
_	_	O
모	NP	O
쿠	NNP	B-PER
레스	NNP	I-PER
쿠	NNP	O
_	_	O
감독	NNG	O
은	JX	O
_	_	O
SS	O	O
2	SN	B-NOH
가지	NNB	I-NOH
_	_	O
측면	NNG	O
에서	JKB	O
_	_	O
문성민	NNP	B-PER
은	JX	O
_	_	O
대단	NNG	O
하+ㄴ	XSA+ETM	O
_	_	O
선수+이	NNG+VCP	O
다	EC	O
_	_	O
.	SF	O
		
이	MM	O
_	_	O
매장	NNG	O
은	JX	O
_	_	O
김영주	NNP	B-PER
골프	NNG	O
에서	JKB	O
_	_	O
선정	NNG	O
하+ㄴ	XSV+ETM	O
_	_	O
VIP	SL	O
_	_	O
고객	NNG	O
_	_	O
위주	NNG	O
의	JKG	O
_	_	O
멤버십	NNG	O
_	_	O
형태	NNG	O
로	JKB	O
_	_	O
운영	NNG	O
되+ㄴ다	XSV+EC	O
_	_	O
.	SF	O
		
게다가	MAG	O
_	_	O
상대	NNG	O
는	JX	O
_	_	O
리그	NNG	O
_	_	O
최고	NNG	O
의	JKG	O
_	_	O
빅맨	NNG	O
으로	JKB	O
_	_	O
평가	NNG	O
받	VV	O
는	ETM	O
_	_	O
팀	NNP	B-PER
_	_	O
던컨	NNP	O
이	VCP	O
었	EP	O
다	EC	O
_	_	O
.	SF	O
		
그	NP	O
는	JX	O
_	_	O
오	VV	O
는	ETM	O
_	_	O
28	SN	B-DAT
일	NNB	I-DAT
_	_	O
KBS	SL	O
_	_	O
2	SN	B-NOH
TV	SL	O
_	_	O
'	SS	O
윤도현	NNP	B-PER
의	JKG	O
_	_	O
러브	NNG	O
레터	NNG	O
'	SS	O
를	JKO	O
_	_	O
통하+여	VV+EC	O
_	_	O
콘서트	NNG	O
_	_	O
이후	NNG	O
_	_	O
음악	NNG	O
_	_	O
프로그램	NNG	O
에	JKB	O
_	_	O
처음	NNG	O
_	_	O
얼굴	NNG	O
을	JKO	O
_	_	O
내밀+ㄴ다	VV+EF	O
.	SF	O
		
황인춘	NNP	B-PER
은	JX	O
_	_	O
우승	NNG	O
상금	NNG	O
_	_	O
1	SN	B-NOH
억	NR	I-NOH
원	NNB	I-NOH
을	JKO	O
_	_	O
보태+어	VV+EC	O
_	_	O
상금	NNG	O
랭킹	NNG	O
_	_	O
1	SN	B-NOH
위	NNB	I-NOH
(	SS	O
2	SN	B-NOH
억	NR	I-NOH
3451	SN	I-NOH
만	NR	I-NOH
원	NNB	I-NOH
)	SS	O
로	JKB	O
_	_	O
'	SS	O
상금	NNG	O
왕	XSN	O
_	_	O
경쟁	NNG	O
'	SS	O
에서	JKB	O
도	JX	O
_	_	O
가속도	NNG	O
를	JKO	O
_	_	O
붙이	VV	O
었	EP	O
다	EC	O
_	_	O
.	SF	O
		
“	SS	O
황선홍	NNP	B-PER
_	_	O
감독	NNG	O
과	JKB	O
_	_	O
같이	MAG	O
_	_	O
한국	NNP	B-ORG
을	JKO	O
_	_	O
대표	NNG	O
하	XSV	O
는	ETM	O
_	_	O
스트라이커	NNG	O
로	JKB	O
_	_	O
성공	NNG	O
하	XSV	O
고	EC	O
_	_	O
.	SF	O
		
여자	NNG	O
펜싱	NNG	O
의	JKG	O
_	_	O
간판	NNG	O
_	_	O
남현희	NNP	B-PER
도	JX	O
_	_	O
금메달	NNG	O
_	_	O
사냥	NNG	O
에	JKB	O
_	_	O
나서+ㄴ다	VV+EC	O
_	_	O
.	SF	O
		
전	MM	O
_	_	O
세계	NNG	O
의	JKG	O
_	_	O
시선	NNG	O
이	JKS	O
_	_	O
10	SN	B-DAT
일	NNB	I-DAT
_	_	O
오후	NNG	O
_	_	O
11	SN	B-NOH
시	NNB	I-NOH
15	SN	I-NOH
분	NNB	I-NOH
_	_	O
열리	VV	O
는	ETM	O
_	_	O
중국	NNP	B-LOC
과	JC	O
_	_	O
미국	NNP	B-ORG
의	JKG	O
_	_	O
남자	NNG	O
농구	NNG	O
_	_	O
예선	NNG	O
_	_	O
첫	MM	O
_	_	O
경기	NNG	O
에	JKB	O
_	_	O
쏠리	VV	O
고	EC	O
_	_	O
있	VX	O
다	EC	O
_	_	O
.	SF	O
		
니시코리	NNP	B-PER
(	SS	O
일본	NNP	B-ORG
)	SS	O
_	_	O
기권승	NNG	I-PER
_	_	I-PER
카라	NNG	I-PER
누시치	NNP	I-PER
(	SS	I-PER
크로아티아	NNP	I-PER
)	SS	O
,	SP	O
_	_	O
루옌	NNP	B-PER
순	XSN	I-PER
(	SS	O
대만	NNP	B-ORG
)	SS	O
_	_	O
1	SN	B-NOH
(	SS	I-NOH
1	SN	B-NOH
-	SO	I-NOH
6	SN	I-NOH
_	_	O
6	SN	B-NOH
-	SO	I-NOH
4	SN	I-NOH
_	_	O
6	SN	B-NOH
-	SO	I-NOH
7	SN	I-NOH
_	_	O
4	SN	B-NOH
-	SO	I-NOH
6	SN	I-NOH
)	SS	I-NOH
3	SN	I-NOH
_	_	I-NOH
치	XSN	I-NOH
폴라	NNP	I-NOH
(	SS	O
이	MM	O
스테이트	NNG	O
)	SS	O
		
완치	NNG	O
율	XSN	O
이	JKS	O
_	_	O
비교적	MAG	O
_	_	O
높	VA	O
은	ETM	O
_	_	O
암	NNG	O
이	VCP	O
라고	EC	O
는	JX	O
_	_	O
하지만	MAJ	O
_	_	O
데이비스	NNP	B-PER
의	JKG	O
_	_	O
뜨겁	VA	O
ㄴ	ETM	O
_	_	O
투혼	NNG	O
은	JX	O
_	_	O
야구팬	NNG	O
들	XSN	O
에게	JKB	O
_	_	O
크+ㄴ	VA+ETM	O
_	_	O
감동	NNG	O
을	JKO	O
_	_	O
주	VV	O
기	ETN	O
에	JKB	O
_	_	O
충분+하	NNG+XSA	O
였	EP	O
다	EC	O
_	_	O
.	SF	O
		
용덕한	NNP	B-PER
은	JX	O
_	_	O
태그	NNG	O
아웃	NNG	O
을	JKO	O
_	_	O
원	NNB	O
_	_	O
심판	NNG	O
에게	JKB	O
_	_	O
항의+하	NNG+XSV	O
였	EP	O
지만	EC	O
_	_	O
판정	NNG	O
은	JX	O
_	_	O
번복	NNG	O
되	XSV	O
지	EC	O
_	_	O
않	VX	O
았	EP	O
고	EC	O
_	_	O
정수근	NNP	B-PER
의	JKG	O
_	_	O
현란	NNG	O
하+ㄴ	XSA+ETM	O
_	_	O
주루	NNG	O
_	_	O
플레이	NNG	O
가	JKS	O
_	_	O
돋보이+ㄴ	VV+ETM	O
_	_	O
`	SW	O
할리우드	NNP	O
_	_	O
액션	NNG	O
'	SS	O
은	JX	O
_	_	O
롯데	NNP	B-ORG
가	JKS	O
_	_	O
5	SN	B-NOH
-	SO	I-NOH
0	SN	I-NOH
으로	JKB	O
_	_	O
크	VA	O
게	EC	O
_	_	O
앞서+ㄴ	VV+ETM	O
_	_	O
상황	NNG	O
이	VCP	O
라	EC	O
_	_	O
그대로	MAG	O
_	_	O
묻히+어	VV+EC	O
_	_	O
버리	VX	O
었	EP	O
다	EF	O
.	SF	O
		
로코	NNP	B-PER
_	_	O
미디	NNG	O
에이트	NNG	O
(	SS	O
